,Title,Link,Year,Rating,Movie_ID
0,The Shawshank Redemption,https://www.imdb.com/title/tt0111161/reviews?ref_=tt_urv,1994,9.2,/title/tt0111161/
1,The Godfather,https://www.imdb.com/title/tt0068646/reviews?ref_=tt_urv,1972,9.2,/title/tt0068646/
2,The Dark Knight,https://www.imdb.com/title/tt0468569/reviews?ref_=tt_urv,2008,9.0,/title/tt0468569/
3,The Godfather Part II,https://www.imdb.com/title/tt0071562/reviews?ref_=tt_urv,1974,9.0,/title/tt0071562/
4,12 Angry Men,https://www.imdb.com/title/tt0050083/reviews?ref_=tt_urv,1957,8.9,/title/tt0050083/
5,Schindler's List,https://www.imdb.com/title/tt0108052/reviews?ref_=tt_urv,1993,8.9,/title/tt0108052/
6,The Lord of the Rings: The Return of the King,https://www.imdb.com/title/tt0167260/reviews?ref_=tt_urv,2003,8.9,/title/tt0167260/
7,Pulp Fiction,https://www.imdb.com/title/tt0110912/reviews?ref_=tt_urv,1994,8.9,/title/tt0110912/
8,The Lord of the Rings: The Fellowship of the Ring,https://www.imdb.com/title/tt0120737/reviews?ref_=tt_urv,2001,8.8,/title/tt0120737/
9,"Il buono, il brutto, il cattivo",https://www.imdb.com/title/tt0060196/reviews?ref_=tt_urv,1966,8.8,/title/tt0060196/
10,Forrest Gump,https://www.imdb.com/title/tt0109830/reviews?ref_=tt_urv,1994,8.8,/title/tt0109830/
11,Fight Club,https://www.imdb.com/title/tt0137523/reviews?ref_=tt_urv,1999,8.8,/title/tt0137523/
12,Inception,https://www.imdb.com/title/tt1375666/reviews?ref_=tt_urv,2010,8.7,/title/tt1375666/
13,The Lord of the Rings: The Two Towers,https://www.imdb.com/title/tt0167261/reviews?ref_=tt_urv,2002,8.7,/title/tt0167261/
14,The Empire Strikes Back,https://www.imdb.com/title/tt0080684/reviews?ref_=tt_urv,1980,8.7,/title/tt0080684/
15,The Matrix,https://www.imdb.com/title/tt0133093/reviews?ref_=tt_urv,1999,8.7,/title/tt0133093/
16,Goodfellas,https://www.imdb.com/title/tt0099685/reviews?ref_=tt_urv,1990,8.7,/title/tt0099685/
17,One Flew Over the Cuckoo's Nest,https://www.imdb.com/title/tt0073486/reviews?ref_=tt_urv,1975,8.6,/title/tt0073486/
18,Se7en,https://www.imdb.com/title/tt0114369/reviews?ref_=tt_urv,1995,8.6,/title/tt0114369/
19,Shichinin no samurai,https://www.imdb.com/title/tt0047478/reviews?ref_=tt_urv,1954,8.6,/title/tt0047478/
20,It's a Wonderful Life,https://www.imdb.com/title/tt0038650/reviews?ref_=tt_urv,1946,8.6,/title/tt0038650/
21,The Silence of the Lambs,https://www.imdb.com/title/tt0102926/reviews?ref_=tt_urv,1991,8.6,/title/tt0102926/
22,Cidade de Deus,https://www.imdb.com/title/tt0317248/reviews?ref_=tt_urv,2002,8.6,/title/tt0317248/
23,Saving Private Ryan,https://www.imdb.com/title/tt0120815/reviews?ref_=tt_urv,1998,8.6,/title/tt0120815/
24,La vita è bella,https://www.imdb.com/title/tt0118799/reviews?ref_=tt_urv,1997,8.6,/title/tt0118799/
25,The Green Mile,https://www.imdb.com/title/tt0120689/reviews?ref_=tt_urv,1999,8.6,/title/tt0120689/
26,Interstellar,https://www.imdb.com/title/tt0816692/reviews?ref_=tt_urv,2014,8.6,/title/tt0816692/
27,Star Wars,https://www.imdb.com/title/tt0076759/reviews?ref_=tt_urv,1977,8.6,/title/tt0076759/
28,Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/reviews?ref_=tt_urv,1991,8.5,/title/tt0103064/
29,Back to the Future,https://www.imdb.com/title/tt0088763/reviews?ref_=tt_urv,1985,8.5,/title/tt0088763/
30,Sen to Chihiro no kamikakushi,https://www.imdb.com/title/tt0245429/reviews?ref_=tt_urv,2001,8.5,/title/tt0245429/
31,Psycho,https://www.imdb.com/title/tt0054215/reviews?ref_=tt_urv,1960,8.5,/title/tt0054215/
32,The Pianist,https://www.imdb.com/title/tt0253474/reviews?ref_=tt_urv,2002,8.5,/title/tt0253474/
33,Léon,https://www.imdb.com/title/tt0110413/reviews?ref_=tt_urv,1994,8.5,/title/tt0110413/
34,Gisaengchung,https://www.imdb.com/title/tt6751668/reviews?ref_=tt_urv,2019,8.5,/title/tt6751668/
35,The Lion King,https://www.imdb.com/title/tt0110357/reviews?ref_=tt_urv,1994,8.5,/title/tt0110357/
36,Gladiator,https://www.imdb.com/title/tt0172495/reviews?ref_=tt_urv,2000,8.5,/title/tt0172495/
37,American History X,https://www.imdb.com/title/tt0120586/reviews?ref_=tt_urv,1998,8.5,/title/tt0120586/
38,The Usual Suspects,https://www.imdb.com/title/tt0114814/reviews?ref_=tt_urv,1995,8.5,/title/tt0114814/
39,The Departed,https://www.imdb.com/title/tt0407887/reviews?ref_=tt_urv,2006,8.5,/title/tt0407887/
40,The Prestige,https://www.imdb.com/title/tt0482571/reviews?ref_=tt_urv,2006,8.5,/title/tt0482571/
41,Top Gun: Maverick,https://www.imdb.com/title/tt1745960/reviews?ref_=tt_urv,2022,8.5,/title/tt1745960/
42,Casablanca,https://www.imdb.com/title/tt0034583/reviews?ref_=tt_urv,1942,8.5,/title/tt0034583/
43,Whiplash,https://www.imdb.com/title/tt2582802/reviews?ref_=tt_urv,2014,8.5,/title/tt2582802/
44,The Intouchables,https://www.imdb.com/title/tt1675434/reviews?ref_=tt_urv,2011,8.5,/title/tt1675434/
45,Modern Times,https://www.imdb.com/title/tt0027977/reviews?ref_=tt_urv,1936,8.5,/title/tt0027977/
46,Seppuku,https://www.imdb.com/title/tt0056058/reviews?ref_=tt_urv,1962,8.4,/title/tt0056058/
47,Once Upon a Time in the West,https://www.imdb.com/title/tt0064116/reviews?ref_=tt_urv,1968,8.4,/title/tt0064116/
48,Hotaru no haka,https://www.imdb.com/title/tt0095327/reviews?ref_=tt_urv,1988,8.4,/title/tt0095327/
49,Rear Window,https://www.imdb.com/title/tt0047396/reviews?ref_=tt_urv,1954,8.4,/title/tt0047396/
50,Alien,https://www.imdb.com/title/tt0078748/reviews?ref_=tt_urv,1979,8.4,/title/tt0078748/
